visit_date_num,counts,visitor_local,visitor_foreigner,local_corona,covid_china,covid_japan,male,female,category1,category2,category3,category4,category5,category6,category7,category8,category9,category10,category11,category12,category13,category14,sales_per_counts,sales
201903_22,120246.0,1038223.0,126611,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28571.835861483956,3435648975.0
201903_23,594295.0,1038223.0,126611,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,13380.761887614737,7952119886.0
201903_24,788445.0,1038223.0,126611,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,13271.927611945031,10464184966.0
201903_25,325125.0,1038223.0,126611,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12275.18372933487,3990969110.0
201903_26,316814.0,1038223.0,126611,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,12065.876776278827,3822638685.0
201903_27,1369306.0,1038223.0,126611,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,42376.73063654143,58026711521.0
201903_28,983133.0,1038223.0,126611,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,38145.025135968375,37501632997.0
201904_1,158292.0,1158666.0,139360,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54490.95687084628,8625482545.0
201904_2,89690.0,1158666.0,139360,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40099.0782138477,3596486325.0
201904_3,266132.0,1158666.0,139360,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65690.16848406054,17482255919.0
201904_4,172695.0,1158666.0,139360,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61820.4040823417,10676074683.0
201904_5,252403.0,1158666.0,139360,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28292.878174982074,7141207330.0
201904_6,200687.0,1158666.0,139360,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26319.179353919288,5281917147.0
201904_7,61995.0,1158666.0,139360,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28005.98606339221,1736231106.0
201904_8,52570.0,1158666.0,139360,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26706.398059729883,1403955346.0
