"visit_date","category","gender","counts","sales","sales_per_counts"
201908,제과/제빵/떡/케익,여성,77599,945986309,12190.702315751492
201908,중식,남성,33123,876272313,26455.101077800922
201908,중식,여성,18400,498800075,27108.699728260868
201908,커피/음료,남성,75239,731912267,9727.830872286979
201908,커피/음료,여성,87229,838035840,9607.307661442868
201908,한식,남성,516469,20147720982,39010.513664905346
201908,한식,여성,349618,12356545552,35342.99021217443
201909,간이주점,남성,6536,1198017394,183295.19492044064
201909,간이주점,여성,906,135160210,149183.45474613688
201909,양식,남성,77535,1651714967,21302.83055394338
201909,양식,여성,92566,1753522383,18943.482304517856
201909,유흥주점,남성,11966,2358320216,197085.09242854756
201909,유흥주점,여성,3190,332154400,104123.63636363637
201909,일식/수산물,남성,22233,1315960510,59189.51603472316
201909,일식/수산물,여성,15974,810202130,50720.053211468636
201909,제과/제빵/떡/케익,남성,52230,732870704,14031.604518475971
201909,제과/제빵/떡/케익,여성,71358,954201717,13372.035609181872
201909,중식,남성,27334,717858544,26262.47691519719
201909,중식,여성,14708,387979680,26378.819689964646
201909,커피/음료,남성,60791,555141101,9131.961984504285
201909,커피/음료,여성,70254,636067632,9053.827995558971
201909,한식,남성,414002,15859038430,38306.6710547292
201909,한식,여성,274466,9516224306,34671.77831133911
201910,간이주점,남성,6620,1221087422,184454.29335347432
201910,간이주점,여성,983,146864900,149404.78128179043
201910,양식,남성,81497,1671690623,20512.29644035977
201910,양식,여성,98946,1821032475,18404.306136680614
201910,유흥주점,남성,11478,2312801939,201498.68783760237
201910,유흥주점,여성,3170,345802951,109086.10441640379
201910,일식/수산물,남성,23408,1515254991,64732.356074846204
201910,일식/수산물,여성,17201,946367730,55018.180919713974
201910,제과/제빵/떡/케익,남성,55085,709190840,12874.481982390851
201910,제과/제빵/떡/케익,여성,75706,947743876,12518.741922700974
201910,중식,남성,30474,770168315,25272.96433024874
201910,중식,여성,16821,435543350,25892.833363058082
201910,커피/음료,남성,64713,584467588,9031.687419838363
201910,커피/음료,여성,76892,680012230,8843.731857670498
201910,한식,남성,469839,17754686997,37788.87448040712
201910,한식,여성,317449,11058455765,34835.377540959336
201911,간이주점,남성,6514,1221409810,187505.34387473133
201911,간이주점,여성,988,162510740,164484.55465587045
201911,양식,남성,73346,1537355694,20960.32086276007
201911,양식,여성,88563,1620297371,18295.421011031696
201911,유흥주점,남성,11688,2385432430,204092.43925393565
201911,유흥주점,여성,3141,342453122,109026.78191658708
201911,일식/수산물,남성,21793,1513164961,69433.53191391731
201911,일식/수산물,여성,15287,880755951,57614.70209982338
201911,제과/제빵/떡/케익,남성,52674,705861657,13400.5706230778
201911,제과/제빵/떡/케익,여성,72294,940454092,13008.743353528647
201911,중식,남성,29502,757892771,25689.538709240052
201911,중식,여성,15594,400191822,25663.192381685265
201911,커피/음료,남성,59857,533009602,8904.716273785856
201911,커피/음료,여성,69797,621274825,8901.168030144561
201911,한식,남성,448280,17166263501,38293.618945748196
201911,한식,여성,296152,10252554207,34619.230013641645
201912,간이주점,남성,6832,1277485496,186985.5819672131
201912,간이주점,여성,1019,164325280,161261.3150147203
201912,양식,남성,75741,1672382139,22080.275399057315
201912,양식,여성,90348,1754367695,19417.89187364413
201912,유흥주점,남성,12562,2469911570,196617.70179907657
201912,유흥주점,여성,3377,365599130,108261.51317737637
201912,일식/수산물,남성,21875,1483408030,67812.93851428572
201912,일식/수산물,여성,15536,869789769,55985.43827239959
201912,제과/제빵/떡/케익,남성,55269,778304156,14082.11033309812
201912,제과/제빵/떡/케익,여성,74131,991318844,13372.527606534379
201912,중식,남성,30550,825205469,27011.63564648118
201912,중식,여성,16315,446209965,27349.676064970885
201912,커피/음료,남성,58316,539734373,9255.339409424514
201912,커피/음료,여성,67324,622368154,9244.372794248708
201912,한식,남성,456102,17832680954,39098.01087037549
201912,한식,여성,298458,10489267951,35144.87114099806
202001,간이주점,남성,6507,1200473720,184489.58352543414
202001,간이주점,여성,902,135417020,150129.73392461197
202001,양식,남성,74296,1670357801,22482.47282491655
202001,양식,여성,91509,1806703384,19743.45019615557
202001,유흥주점,남성,11632,2357966514,202713.76495873454
202001,유흥주점,여성,3130,335285082,107119.83450479234
202001,일식/수산물,남성,20683,1384716650,66949.5068413673
202001,일식/수산물,여성,14507,801905980,55277.17515682084
202001,제과/제빵/떡/케익,남성,47210,717288261,15193.566214785003
202001,제과/제빵/떡/케익,여성,64537,934208424,14475.547732308598
202001,중식,남성,29588,818066654,27648.595849668785
202001,중식,여성,16315,458146599,28081.31161507815
202001,커피/음료,남성,65803,608066075,9240.70445116484
202001,커피/음료,여성,75951,702844065,9253.914563336888
202001,한식,남성,410535,16384023623,39908.95690501419
202001,한식,여성,266742,9570628215,35879.71978541062
202002,간이주점,남성,5579,1031248058,184844.60620182828
202002,간이주점,여성,786,113771740,144747.76081424937
202002,양식,남성,58117,1250619518,21518.996472632793
202002,양식,여성,66612,1257725662,18881.367651474207
202002,유흥주점,남성,9236,1920951922,207985.2665656128
202002,유흥주점,여성,2357,260593127,110561.36062791685
202002,일식/수산물,남성,16186,984903121,60849.07457061658
202002,일식/수산물,여성,10468,515826020,49276.463507833396
202002,제과/제빵/떡/케익,남성,40954,544867913,13304.388167211993
202002,제과/제빵/떡/케익,여성,55641,711755630,12791.927355726892
202002,중식,남성,26356,680083240,25803.735012900288
202002,중식,여성,13454,356741790,26515.6674594916
202002,커피/음료,남성,55862,486202447,8703.634796462711
