"연월","중분류업종명","소분류업종명","성별","이용자수","이용건수","이용금액"
"201902","별식/퓨전요리","죽전문점","여성","10291","10588","164577002"
"201902","별식/퓨전요리","철판구이요리전문","남성","483","483","34097142"
"201902","별식/퓨전요리","철판구이요리전문","여성","651","693","53005180"
"201902","별식/퓨전요리","퓨전음식전문","남성","441","441","13270989"
"201902","별식/퓨전요리","퓨전음식전문","여성","357","357","11470711"
"201902","부페","고기부페","남성","806","806","57524323"
"201902","부페","고기부페","여성","507","507","39469848"
"201902","부페","부페","남성","9829","9966","494500538"
"201902","부페","부페","여성","7116","7234","466605355"
"201902","부페","한식부페","남성","2295","2322","65316037"
"201902","부페","한식부페","여성","783","783","21573758"
"201902","분식","국수/만두/칼국수","남성","133050","134579","3629385092"
"201902","분식","국수/만두/칼국수","여성","90023","91188","2424033483"
"201902","분식","떡볶이전문","남성","25396","26314","415881910"
"201902","분식","떡볶이전문","여성","33453","34594","529179122"
"201902","분식","라면김밥분식","남성","145990","152279","2595200046"
"201902","분식","라면김밥분식","여성","164333","171317","2683676972"
"201902","분식","스낵","남성","26571","27990","403793336"
"201902","분식","스낵","여성","26506","27737","443747409"
"201902","분식","우동전문점","남성","6543","6656","188220919"
"201902","분식","우동전문점","여성","6204","6363","152064266"
"201902","양식","기타서양음식전문","남성","1758","1903","74620804"
"201902","양식","기타서양음식전문","여성","1529","1590","64584584"
"201902","양식","돈가스전문점","남성","23404","23599","548558169"
"201902","양식","돈가스전문점","여성","19933","20018","476981784"
"201902","양식","바베큐전문","남성","3266","3266","120829796"
"201902","양식","바베큐전문","여성","2001","2024","78615900"
"201902","양식","스테이크전문점","남성","5704","5774","374178916"
"201902","양식","스테이크전문점","여성","6032","6032","343041058"
"201902","양식","스파게티전문점","남성","4340","4600","175385901"
"201902","양식","스파게티전문점","여성","6440","6860","216678909"
"201902","양식","정통양식/경양식","남성","74802","77323","3375258614"
"201902","양식","정통양식/경양식","여성","83278","86760","3019035636"
"201902","양식","카레전문점","남성","1597","1693","71637424"
"201902","양식","카레전문점","여성","1957","1995","58929715"
"201902","양식","패밀리레스토랑","남성","4492","4537","352239919"
"201902","양식","패밀리레스토랑","여성","5478","5611","376191121"
"201902","유흥주점","나이트클럽","남성","3175","3604","606896445"
"201902","유흥주점","나이트클럽","여성","1969","2027","187983860"
"201902","유흥주점","룸살롱/단란주점","남성","29430","31202","6760612212"
"201902","유흥주점","룸살롱/단란주점","여성","5733","6036","1089323835"
"201902","유흥주점","빠/카페","남성","14754","16085","711621797"
"201902","유흥주점","빠/카페","여성","16562","17831","596181262"
"201902","유흥주점","일반유흥주점","남성","47047","51840","11735944095"
