기준일(월),항공노선,도착출발구분,항공사,운항수(편),이용자수(명),화물량(톤)
200504,김포-광주,출발,KAL 대한항공,141,16781,89.938
200504,김포-김해,계,AAR 아시아나항공,803,71920,745.3
200504,김포-김해,계,KAL 대한항공,1151,184418,3026.968
200504,김포-김해,도착,AAR 아시아나항공,404,36986,564.982
200504,김포-김해,도착,KAL 대한항공,563,91373,2397.313
200504,김포-김해,출발,AAR 아시아나항공,399,34934,180.318
200504,김포-김해,출발,KAL 대한항공,588,93045,629.655
200504,김포-대구,계,AAR 아시아나항공,106,5308,51.54
200504,김포-대구,계,KAL 대한항공,125,10225,94.36
200504,김포-대구,도착,AAR 아시아나항공,57,2992,23.308
200504,김포-대구,도착,KAL 대한항공,64,5410,0
200504,김포-대구,출발,AAR 아시아나항공,49,2316,28.232
200504,김포-대구,출발,KAL 대한항공,61,4815,94.36
200504,김포-목포,계,AAR 아시아나항공,50,1902,8.492
200504,김포-목포,도착,AAR 아시아나항공,25,923,5.531
200504,김포-목포,출발,AAR 아시아나항공,25,979,2.961
200504,김포-사천,계,AAR 아시아나항공,114,10647,62.335
200504,김포-사천,계,KAL 대한항공,116,11211,18.99
200504,김포-사천,도착,AAR 아시아나항공,57,5236,45.331
200504,김포-사천,도착,KAL 대한항공,58,5672,0
200504,김포-사천,출발,AAR 아시아나항공,57,5411,17.004
200504,김포-사천,출발,KAL 대한항공,58,5539,18.99
200504,김포-여수,계,AAR 아시아나항공,280,25764,74.212
200504,김포-여수,계,KAL 대한항공,230,23929,80.356
200504,김포-여수,도착,AAR 아시아나항공,140,13419,44.509
200504,김포-여수,도착,KAL 대한항공,115,11973,51.465
200504,김포-여수,출발,AAR 아시아나항공,140,12345,29.703
200504,김포-여수,출발,KAL 대한항공,115,11956,28.891
200504,김포-울산,계,AAR 아시아나항공,404,40223,134.43
200504,김포-울산,계,KAL 대한항공,530,60409,123.09
200504,김포-울산,도착,AAR 아시아나항공,202,20842,40.505
200504,김포-울산,도착,KAL 대한항공,265,30252,0.004
200504,김포-울산,출발,AAR 아시아나항공,202,19381,93.925
200504,김포-울산,출발,KAL 대한항공,265,30157,123.086
200504,김포-제주,계,AAR 아시아나항공,1406,203042,3823.462
200504,김포-제주,계,KAL 대한항공,1740,414213,15310.277
200504,김포-제주,도착,AAR 아시아나항공,698,99602,2465.789
200504,김포-제주,도착,KAL 대한항공,882,207249,9909.435
200504,김포-제주,출발,AAR 아시아나항공,708,103440,1357.673
200504,김포-제주,출발,KAL 대한항공,858,206964,5400.842
200504,김포-포항,계,AAR 아시아나항공,232,19915,72.007
200504,김포-포항,계,KAL 대한항공,222,21997,67.948
200504,김포-포항,도착,AAR 아시아나항공,116,10141,49.436
200504,김포-포항,도착,KAL 대한항공,111,11555,40.585
200504,김포-포항,출발,AAR 아시아나항공,116,9774,22.571
200504,김포-포항,출발,KAL 대한항공,111,10442,27.363
200504,김해-양양,계,KAL 대한항공,44,3540,9.486
200504,김해-양양,도착,KAL 대한항공,22,1831,3.9
200504,김해-양양,출발,KAL 대한항공,22,1709,5.586
200504,김해-울산,계,KAL 대한항공,,,
200504,김해-울산,도착,KAL 대한항공,,,
200504,김해-울산,출발,KAL 대한항공,,,
200504,김해-제주,계,AAR 아시아나항공,392,51293,720.927
200504,김해-제주,계,KAL 대한항공,621,131714,4146.027
200504,김해-제주,도착,AAR 아시아나항공,198,26635,447.885
200504,김해-제주,도착,KAL 대한항공,298,66702,2100.954
200504,김해-제주,출발,AAR 아시아나항공,194,24658,273.042
200504,김해-제주,출발,KAL 대한항공,323,65012,2045.073
200504,인천-김해,계,AAR 아시아나항공,75,6111,107.844
200504,인천-김해,계,KAL 대한항공,119,15094,248.944
200504,인천-김해,도착,AAR 아시아나항공,38,3021,47.798
200504,인천-김해,도착,KAL 대한항공,60,7854,120.468
200504,인천-김해,출발,AAR 아시아나항공,37,3090,60.046
200504,인천-김해,출발,KAL 대한항공,59,7240,128.476
200504,인천-대구,계,KAL 대한항공,60,7645,118.317
200504,인천-대구,도착,KAL 대한항공,30,3889,59.833
200504,인천-대구,출발,KAL 대한항공,30,3756,58.484
200504,인천-여수,계,KAL 대한항공,,,
200504,인천-여수,도착,KAL 대한항공,,,
200504,인천-여수,출발,KAL 대한항공,,,
200504,인천-울산,계,KAL 대한항공,,,
200504,인천-울산,도착,KAL 대한항공,,,
200504,인천-울산,출발,KAL 대한항공,,,
200504,인천-제주,계,AAR 아시아나항공,27,3797,19.185
