"visit_date","category","gender","counts","sales"
202011,분식,여성,457733,8024316865
202011,양식,남성,145859,6046221595
202011,양식,여성,152241,5488252497
202011,유흥주점,남성,92428,17920720056
202011,유흥주점,여성,41397,3895456696
202011,일식/수산물,남성,408915,29080274005
202011,일식/수산물,여성,344085,21168144115
202011,제과/제빵/떡/케익,남성,382272,6257727658
202011,제과/제빵/떡/케익,여성,547997,8726317837
202011,중식,남성,228878,6183593197
202011,중식,여성,146533,3897608411
202011,커피/음료,남성,878996,11812062331
202011,커피/음료,여성,1073408,14598757162
202011,패스트푸드,남성,322002,4380241205
202011,패스트푸드,여성,309326,4043565476
202011,한식,남성,1731755,72487657994
202011,한식,여성,1281259,49370919146
202012,간이주점,남성,121832,5765788257
202012,간이주점,여성,70961,2669034506
202012,고기요리,남성,215130,12812517155
202012,고기요리,여성,128601,7189411975
202012,닭/오리요리,남성,260806,6678867985
202012,닭/오리요리,여성,203348,5057978861
202012,별식/퓨전요리,남성,63558,1584969151
202012,별식/퓨전요리,여성,49361,1325348249
202012,부페,남성,11254,499332374
202012,부페,여성,6042,371009276
202012,분식,남성,360265,6273326020
202012,분식,여성,330819,5353052678
202012,양식,남성,107367,4466201612
202012,양식,여성,102584,3701345559
202012,유흥주점,남성,47177,9369297169
202012,유흥주점,여성,21154,2074406360
202012,일식/수산물,남성,296768,19495356669
202012,일식/수산물,여성,218762,13136172105
202012,제과/제빵/떡/케익,남성,354201,5708235839
202012,제과/제빵/떡/케익,여성,489834,7828719297
202012,중식,남성,200761,5275594892
202012,중식,여성,118898,3183045318
202012,커피/음료,남성,666567,8410615998
202012,커피/음료,여성,747405,9581126109
202012,패스트푸드,남성,308746,4247113504
202012,패스트푸드,여성,279387,3807998500
202012,한식,남성,1288781,48310051181
202012,한식,여성,825051,29021955636
202101,간이주점,남성,78066,3314138850
202101,간이주점,여성,48499,1764637070
202101,고기요리,남성,200007,11609096713
202101,고기요리,여성,122979,6568645543
202101,닭/오리요리,남성,243866,6139273944
202101,닭/오리요리,여성,183830,4430922074
202101,별식/퓨전요리,남성,61260,1504709097
202101,별식/퓨전요리,여성,47040,1263243006
202101,부페,남성,8609,387735584
202101,부페,여성,4764,209044764
202101,분식,남성,330531,5647661263
202101,분식,여성,295607,4763835801
202101,양식,남성,97796,3614871894
202101,양식,여성,99750,3402267247
202101,유흥주점,남성,9908,2448080829
202101,유흥주점,여성,10699,501699819
202101,일식/수산물,남성,251732,16123076385
202101,일식/수산물,여성,184392,11100055313
202101,제과/제빵/떡/케익,남성,336011,5030643127
202101,제과/제빵/떡/케익,여성,456497,6672896904
202101,중식,남성,190390,5084116419
202101,중식,여성,114886,2971227026
202101,커피/음료,남성,602383,7482564201
202101,커피/음료,여성,698208,8588816783
202101,패스트푸드,남성,296279,4036608305
202101,패스트푸드,여성,265680,3600106299
202101,한식,남성,1170153,41575701223
202101,한식,여성,746586,24866948436
202102,간이주점,남성,128138,6004192147
